kecamatan,kelurahan,lintang_selatan,bujur_timur,parameter,hasil_analisa
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",Timah Hitam (Pb),0
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",Detergen,0.5
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",Zat Organik,1.26
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",Total Coliform,0
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",E.Coli,0
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",Indeks Pencemaran,0.27620956
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",Kategori,MemenuhiBaku Mutu
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Warna,60
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Kekeruhan,5
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Air Raksa,<0.0003
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Besi (Fe),0
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Fluorida,0
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Cadmium (Cd),0
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Kesadahan,65
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Krom Heksavalen,<0.003
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Mangan (Mn),0
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Nitrat,0
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Nitrit,0
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Seng (Zn),<0.01
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Sulfat,29
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Timah Hitam (Pb),0
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Detergen,0
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Zat Organik,2
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Total Coliform,0
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",E.Coli,0
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Indeks Pencemaran,1
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Kategori,Tercemar Ringan
Sawah Besar,Karang Anyar Utara,"06o09’20,6” ","106o49’44,3”",Warna,27
Sawah Besar,Karang Anyar Utara,"06o09’20,6” ","106o49’44,3”",Kekeruhan,2
Sawah Besar,Karang Anyar Utara,"06o09’20,6” ","106o49’44,3”",Air Raksa,<0.0003
Sawah Besar,Karang Anyar Utara,"06o09’20,6” ","106o49’44,3”",Besi (Fe),0
Sawah Besar,Karang Anyar Utara,"06o09’20,6” ","106o49’44,3”",Fluorida,0
Sawah Besar,Karang Anyar Utara,"06o09’20,6” ","106o49’44,3”",Cadmium (Cd),0
Sawah Besar,Karang Anyar Utara,"06o09’20,6” ","106o49’44,3”",Kesadahan,32
Sawah Besar,Karang Anyar Utara,"06o09’20,6” ","106o49’44,3”",Krom Heksavalen,<0.003
Sawah Besar,Karang Anyar Utara,"06o09’20,6” ","106o49’44,3”",Mangan (Mn),<0.05
Sawah Besar,Karang Anyar Utara,"06o09’20,6” ","106o49’44,3”",Nitrat,0
Sawah Besar,Karang Anyar Utara,"06o09’20,6” ","106o49’44,3”",Nitrit,0
Sawah Besar,Karang Anyar Utara,"06o09’20,6” ","106o49’44,3”",Seng (Zn),<0.01
Sawah Besar,Karang Anyar Utara,"06o09’20,6” ","106o49’44,3”",Sulfat,50
Sawah Besar,Karang Anyar Utara,"06o09’20,6” ","106o49’44,3”",Timah Hitam (Pb),0
Sawah Besar,Karang Anyar Utara,"06o09’20,6” ","106o49’44,3”",Detergen,0
Sawah Besar,Karang Anyar Utara,"06o09’20,6” ","106o49’44,3”",Zat Organik,0
Sawah Besar,Karang Anyar Utara,"06o09’20,6” ","106o49’44,3”",Total Coliform,0
Sawah Besar,Karang Anyar Utara,"06o09’20,6” ","106o49’44,3”",E.Coli,0
Sawah Besar,Karang Anyar Utara,"06o09’20,6” ","106o49’44,3”",Indeks Pencemaran,0
Sawah Besar,Karang Anyar Utara,"06o09’20,6” ","106o49’44,3”",Kategori,MemenuhiBaku Mutu
Sawah Besar,Kartini,"06o09’11,4”","106o49’54,4”",Warna,24
Sawah Besar,Kartini,"06o09’11,4”","106o49’54,4”",Kekeruhan,2
Sawah Besar,Kartini,"06o09’11,4”","106o49’54,4”",Air Raksa,<0.0003
Sawah Besar,Kartini,"06o09’11,4”","106o49’54,4”",Besi (Fe),0
Sawah Besar,Kartini,"06o09’11,4”","106o49’54,4”",Fluorida,0
Sawah Besar,Kartini,"06o09’11,4”","106o49’54,4”",Cadmium (Cd),0
Sawah Besar,Kartini,"06o09’11,4”","106o49’54,4”",Kesadahan,44
Sawah Besar,Kartini,"06o09’11,4”","106o49’54,4”",Krom Heksavalen,<0.003
Sawah Besar,Kartini,"06o09’11,4”","106o49’54,4”",Mangan (Mn),0
Sawah Besar,Kartini,"06o09’11,4”","106o49’54,4”",Nitrat,0
Sawah Besar,Kartini,"06o09’11,4”","106o49’54,4”",Nitrit,0
Sawah Besar,Kartini,"06o09’11,4”","106o49’54,4”",Seng (Zn),<0.01
Sawah Besar,Kartini,"06o09’11,4”","106o49’54,4”",Sulfat,43
Sawah Besar,Kartini,"06o09’11,4”","106o49’54,4”",Timah Hitam (Pb),0
Sawah Besar,Kartini,"06o09’11,4”","106o49’54,4”",Detergen,0
Sawah Besar,Kartini,"06o09’11,4”","106o49’54,4”",Zat Organik,0
Sawah Besar,Kartini,"06o09’11,4”","106o49’54,4”",Total Coliform,0
Sawah Besar,Kartini,"06o09’11,4”","106o49’54,4”",E.Coli,0
